event_id,timestamp,user_principal_name,event_type,ip_address,country,city,user_agent,application,status,failure_reason,mfa_result,client_app,operation,target_resource,details
evt-000,2026-06-01T09:00:00,user1@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-001,2026-06-01T09:00:20,user2@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-002,2026-06-01T09:00:40,user3@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-003,2026-06-01T09:01:00,user4@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-004,2026-06-01T09:01:20,user5@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-005,2026-06-01T09:01:40,user6@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-006,2026-06-01T09:02:00,user7@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-007,2026-06-01T09:02:20,user8@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-008,2026-06-01T09:02:40,user9@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-009,2026-06-01T09:03:00,user10@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-010,2026-06-01T09:03:20,user11@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-011,2026-06-01T09:03:40,user12@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-012,2026-06-01T09:04:00,user13@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-013,2026-06-01T09:04:20,user14@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-014,2026-06-01T09:04:40,user15@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-015,2026-06-01T09:05:00,user16@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-016,2026-06-01T09:05:20,user17@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-017,2026-06-01T09:05:40,user18@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-018,2026-06-01T09:06:00,user19@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-019,2026-06-01T09:06:20,user20@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-020,2026-06-01T09:06:40,user21@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-021,2026-06-01T09:07:00,user22@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-022,2026-06-01T09:07:20,user23@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-023,2026-06-01T09:07:40,user24@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-024,2026-06-01T09:08:00,user25@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-025,2026-06-01T09:12:00,user7@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,success,,success,browser,UserLoggedIn,Microsoft 365,{}
evt-026,2026-06-01T09:14:00,user7@contoso.com,access,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Outlook,success,,not_required,browser,MailboxAccessed,Exchange Online,{}
evt-027,2026-06-01T09:16:00,user7@contoso.com,access,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,SharePoint Online,success,,not_required,browser,FileAccessed,SharePoint Online,{}
evt-028,2026-06-01T09:18:00,user7@contoso.com,audit,185.22.10.4,Russia,Moscow,ExchangePowerShell/1.0,Exchange Online,success,,not_required,powershell,ExchangePowerShellSessionStarted,Exchange Online,{}
evt-029,2026-06-01T09:20:00,user7@contoso.com,audit,185.22.10.4,Russia,Moscow,ExchangePowerShell/1.0,Exchange Online,success,,not_required,powershell,New-InboxRule,Exchange Online Mailbox,"{""forward_to"": ""attacker.dropbox@example.net"", ""rule_name"": ""Invoice processing"", ""stage"": ""mailbox_forwarding""}"
evt-030,2026-06-01T09:22:00,user7@contoso.com,audit,185.22.10.4,Russia,Moscow,ExchangePowerShell/1.0,Exchange Online,success,,not_required,powershell,Set-Mailbox,Exchange Online Mailbox,{}
evt-031,2026-06-01T09:24:00,user7@contoso.com,audit,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Azure Active Directory,success,,not_required,browser,ApplicationRegistered,Document Sync Helper,{}
evt-032,2026-06-01T09:26:00,user7@contoso.com,audit,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Azure Active Directory,success,,not_required,browser,ConsentToApplication,Document Sync Helper,"{""app_id"": ""a2f21d3e-7c34-4d91-a5d1-fbb44a2cf2ef"", ""app_name"": ""Document Sync Helper"", ""permissions"": [""Mail.Read"", ""offline_access""], ""stage"": ""oauth_consent""}"
evt-033,2026-06-01T09:28:00,user7@contoso.com,audit,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Azure Active Directory,success,,not_required,browser,TokenIssued,Document Sync Helper,{}
