event_id,timestamp,user_principal_name,event_type,ip_address,country,city,user_agent,application,status,failure_reason,mfa_result,client_app,operation,target_resource,details
evt-000,2026-06-01T09:00:00,user0@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-001,2026-06-01T09:00:20,user1@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-002,2026-06-01T09:00:40,user2@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-003,2026-06-01T09:01:00,user3@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-004,2026-06-01T09:01:20,user4@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-005,2026-06-01T09:01:40,user5@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-006,2026-06-01T09:02:00,user6@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-007,2026-06-01T09:02:20,user7@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-008,2026-06-01T09:02:40,user8@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
evt-009,2026-06-01T09:03:00,user9@contoso.com,signin,185.22.10.4,Russia,Moscow,Mozilla/5.0 Chrome,Microsoft 365,failure,Invalid password,not_required,browser,UserLoginFailed,Microsoft 365,{}
